Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: fjs1516t08.csv,,,,,,,,,,,,,,,,
"Table 8. Demographic characteristics of federally sentenced offenders in the custody of the Federal Bureau of Prisons, Fiscal Year-end 2006, 2015, and 2016",,,,,,,,,,,,,,,,
"Report title: Federal Justice Statistics, 2015 -2016   NCJ 251770",,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Federal Bureau of Prisons, SENTRY database, fiscal year-end 2006, 2015, and 2016.",,,,,,,,,,,,,,,,
"Author: Mark Motivans, Ph.D.,  BJS Statistician",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,
Date of version: 01/17/19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 8. Demographic characteristics of federally sentenced offenders in the custody of the Federal Bureau of Prisons, Fiscal Year-end 2006, 2015, and 2016",,,,,,,,,,,,,,,,
,,,2006,,,,2015,,,,2016,,,,,
Offender characteristic,,,Number,,Percent,,Number,,Percent,,Number,,Percent,,"   Average annual growth rate, 2006–2016/a",
,All prisoners,,"168,425",,100,%,183063,,100,%,"170,378",,100,%,0.2,%
Sex,,,,,,,,,,,,,,,,
,Male,,"157,239",,93.4,%,170842,,93.3,%,"158,976",,93.3,%,0.2,%
,Female,,"11,186",,6.6,,12221,,6.7,,"11,402",,6.7,,0.3,
Race/Hispanic origin/b,,,,,,,,,,,,,,,,
,White,,"47,065",,27.9,%,50005,,27.3,%,"47,395",,27.8,%,0.1,%
,Black/African American,,"62,448",,37.1,,64025,,35,,"59,605",,35,,-0.4,
, Hispanic/Latino,,"53,461",,31.7,,63010,,34.4,,"57,608",,33.8,,0.9,
,American Indian/Alaska Native,,"2,960",,1.8,,3460,,1.9,,"3,443",,2,,1.5,
,Asian/Native Hawaiian/Other Pacific Islander,,"2,491",,1.5,,2563,,1.4,,2327,,1.4,,-0.6,
Age,,,,,,,,,,,,,,,,
,17 or younger,,27,,0,%,9,,--,,2,,--,,--,
,18–19,,361,,0.2,,235,,0.1,%,246,,0.1,%,-2.5,%
,20–24,,"10,992",,6.5,,7575,,4.1,,"6,708",,3.9,,-4.7,
,25–29,,"28,687",,17,,21080,,11.5,,"19,163",,11.2,,-3.9,
,30–34,,"34,330",,20.4,,31732,,17.3,,"28,372",,16.7,,-1.8,
,35–39,,"30,429",,18.1,,35006,,19.1,,"32,817",,19.3,,0.8,
,40–44,,"23,459",,13.9,,29399,,16.1,,"27,561.00",,16.2,,1.7,
,45–49,,"17,115",,10.2,,21728,,11.9,,"20,740",,12.2,,2,
,50–54,,"10,633",,6.3,,15599,,8.5,,"14,653",,8.6,,3.3,
,55–59,,"6,560",,3.9,,9931,,5.4,,"9,645",,5.7,,4,
,60–64,,"3,333",,2,,5709,,3.1,,"5,442",,3.2,,5.1,
,65 or older,,"2,498",,1.5,,5060,,2.8,,"5,028",,3,,7.3,
,Median,,39, yrs.,,,39, yrs.,,,40, yrs.,,,,
Citizenship,,,,,,,,,,,,,,,,
,U.S. citizen,,"123,366",,73.4,%,140547,,76.8,%,"133,104",,78.1,%,0.8,%
,Non-U.S. citizen,,"44,629",,26.6,,42483,,23.2,,"37,242",,21.9,,-1.6,
Country/region of citizenship,,,,,,,,,,,,,,,,
,North America,,"162,134",,96.6,%,178899,,97.7,%,"166,417",,97.8,%,0.3,%
,,United States,"123,366",,73.5,,140547,,74.2,,"133,104",,78.2,,0.8,
,,Mexico,"29,895",,17.8,,30119,,18.8,,"26,038",,15.3,,-1.1,
,,Canada,335,,0.2,,299,,0.2,,236,,0.1,,-3,
,,Caribbean Islands/c,"6,159",,3.7,,4088,,2.4,,"3,545",,2.1,,-5.3,
,,Central America/c,"2,379",,1.4,,3846,,2.2,,"3,494",,2.1,,4.3,
,South America/c,,"3,435",,2,,2073,,1.2,,"2,037",,1.2,,-5.1,
,Asia and Oceania/c,,"1,367",,0.8,,1095,,0.6,,997,,0.6,,-3,
,Europe/c,,474,,0.3,,440,,0.2,,425,,0.2,,-1,
,Africa/c,,448,,0.3,,373,,0.2,,327,,0.2,,-2.8,
"Note: Includes prisoners sentenced in U.S. district court and excludes District of Columbia code offenders, military code offenders, foreign treaty transfers, state boarders, and pre-sentenced offenders. Citizenship data were missing in 2006 (430), 2015 (33), and 2016 (32). Country/region of citizenship data were missing in 2006 (567), 2015 (183), and 2016 (175). Details may not sum to totals due to rounding. ",,,,,,,,,,,,,,,,
--Less than 0.05%.,,,,,,,,,,,,,,,,
a/Calculated using each fiscal-year count from 2006 through 2016.,,,,,,,,,,,,,,,,
"b/Excludes persons of Hispanic/Latino origin, unless specified. Race/Hispanic origin are self-reported by the defendant during the pre-sentence interview. Information collected for one race and one Hispanic origin category.",,,,,,,,,,,,,,,,
c/Countries aggregated by region.,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Federal Bureau of Prisons, SENTRY database, fiscal year-end 2006, 2015, and 2016.",,,,,,,,,,,,,,,,
